,title,year,rating,director_and_writers
189,Garota Exemplar,2014,8.1,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
190,Até o Último Homem,2016,8.1,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
191,Os Suspeitos,2013,8.1,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
192,Quando Duas Mulheres Pecam,1966,8.1,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
193,Assassinato às Cegas,2018,8.1,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu"
194,Bancando o Águia,1924,8.1,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
195,O Grande Lebowski,1998,8.1,"Joel Coen (dir.), Jeff Bridges, John Goodman"
196,Barry Lyndon,1975,8.1,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
197,A General,1926,8.1,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
198,Ser ou Não Ser,1942,8.1,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
199,Como Treinar o Seu Dragão,2010,8.1,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
200,Ford vs Ferrari,2019,8.1,"James Mangold (dir.), Matt Damon, Christian Bale"
201,12 Anos de Escravidão,2013,8.1,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
202,Sonata de Outono,1978,8.1,"Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann"
203,O Bandido,1996,8.1,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel"
204,A Mulher Faz o Homem,1939,8.1,"Frank Capra (dir.), James Stewart, Jean Arthur"
205,Anand,1971,8.1,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan"
206,Mad Max: Estrada da Fúria,2015,8.1,"George Miller (dir.), Tom Hardy, Charlize Theron"
207,Sociedade dos Poetas Mortos,1989,8.1,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
208,Menina de Ouro,2004,8.1,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
209,Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
210,Conta Comigo,1986,8.1,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
211,Rede de Intrigas,1976,8.1,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
212,Ben-Hur,1959,8.1,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
213,Sempre ao Seu Lado,2009,8.1,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
214,A Criada,2016,8.1,"Chan-wook Park (dir.), Kim Min-hee, Jung-woo Ha"
215,Rebeldia Indomável,1967,8.1,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
216,Logan,2017,8.1,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217,Platoon,1986,8.0,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
218,Ratsasan,2018,8.0,"Ram Kumar (dir.), Vishnu Vishal, Amala Paul"
219,Na Natureza Selvagem,2007,8.0,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
220,O Salário do Medo,1953,8.0,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
221,Rush: No Limite da Emoção,2013,8.0,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
222,O Ódio,1995,8.0,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
223,A Vida de Brian,1979,8.0,"Terry Jones (dir.), Graham Chapman, John Cleese"
224,Os Incompreendidos,1959,8.0,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
225,O Martírio de Joana D'Arc,1928,8.0,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
226,Spotlight: Segredos Revelados,2015,8.0,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
227,Soul,2020,8.0,"Pete Docter (dir.), Jamie Foxx, Tina Fey"
228,Hotel Ruanda,2004,8.0,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
229,Gangues de Wasseypur,2012,8.0,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha"
230,Amores Brutos,2000,8.0,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
231,Andrei Rublev,1966,8.0,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov"
232,Monstros S.A.,2001,8.0,"Pete Docter (dir.), Billy Crystal, John Goodman"
233,Rocky: Um Lutador,1976,8.0,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
234,Nausicaä do Vale do Vento,1984,8.0,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura"
235,"Rebecca, a Mulher Inesquecível",1940,8.0,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
236,Vida Cigana,1988,8.0,"Emir Kusturica (dir.), Davor Dujmovic, Bora Todorovic"
237,Antes do Pôr-do-Sol,2004,8.0,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
238,Amor à Flor da Pele,2000,8.0,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung"
239,Pinte de Açafrão,2006,8.0,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan"
240,Rififi,1955,8.0,"Jules Dassin (dir.), Jean Servais, Carl Möhner"
241,"Paris, Texas",1984,8.0,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski"
242,Drishyam,2013,8.0,"Jeethu Joseph (dir.), Mohanlal, Meena"
243,Retrato de uma Jovem em Chamas,2019,8.0,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel"
244,Aconteceu Naquela Noite,1934,8.0,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
245,A Voz do Silêncio,2016,8.0,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami"
246,Neon Genesis Evangelion: O Fim do Evangelho,1997,8.0,"Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara"
247,A Chantagem,2015,8.0,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran"
248,Tangerinas,2013,8.0,"Zaza Urushadze (dir.), Lembit Ulfsak, Elmo Nüganen"
249,Um Contratempo,2016,8.0,"Oriol Paulo (dir.), Mario Casas, Ana Wagener"
